,id,date_creat,date_decla,date_publi,date_disso,groupement,objet,adrs_libvoie,adrs_codepostal,adrs_libcommune,position,objet_cat,nom,annee_creat,membres,benefices,code_parent,libelle_parent
56,W031000948,2002-09-02,2005-03-24,2002-09-28,0001-01-01,S,Promouvoir des actions servant les intérêts de l'EDSM FOOTBALL sous toutes ses formes,1 QUAI Barbés,3100,Montluçon,A,11,LES AMIS DE L'EDSM FOOTBALL,2002,200,17778,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
57,W032001063,2003-10-23,2011-11-03,2003-11-29,0001-01-01,S,Sauvegarde et rénovation du château de Saint Augustin,,3320,Château-sur-Allier,A,10,LES AMIS DE SAINT AUGUSTIN,2003,35,16788,10,PRÉSERVATION DU PATRIMOINE
58,W031002504,2013-04-30,2013-04-30,2013-05-11,0001-01-01,S,la valorisation et la promotion de la race blonde d'aquitaine en france,,3420,Saint-Fargeol,A,10,ASSOCIATION BLONDES DES COMBRAILLES,2013,69,16956,10,PRÉSERVATION DU PATRIMOINE
59,W031001057,1994-12-15,2017-03-10,0001-01-01,0001-01-01,S,"Assurer les relations entre les étudiants, les professeurs et la direction du département, informer de toutes les manifestations étudiantes et culturelles, organiser des manifestations.",AV Aristide Briand,3100,Montluçon,A,15,ASSOCIATION DES ETUDIANTS EN GENIE ...,1994,110,20651,15,ÉDUCATION  FORMATION
60,W032003401,2017-04-10,2017-04-10,2017-04-15,0001-01-01,S,soutenir et développer la recherche en musicothérapie et en holopsonie certains jeudis dans l'année,LD Le pont de l'Etau,3320,Lurcy-Lévis,A,6,LES JEUDIS DE LURCY,2017,131,21939,6,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
61,W032000843,1988-02-26,2020-02-17,1988-03-23,0001-01-01,S,Organisation des festivites de la commune,Mairie le Bourg,3240,Saint-Sornin,A,9,COMITE DES FETES DE SAINT SORNIN,1988,74,29877,9,ACTION SOCIOCULTURELLE
62,W031000837,1995-05-19,2012-01-05,1995-06-21,0001-01-01,S,Ameliorer la vie des etudiants,I.U.T.,3100,Montluçon,A,15,BUREAU DES ETUDIANTS DU DEPARTEMENT...,1995,112,25344,15,ÉDUCATION  FORMATION
63,W032001243,2002-04-12,2009-08-25,2002-05-11,0001-01-01,S,S,,3140,Charroux,A,6,REGARDS BOURBONNAIS,2002,84,9159,6,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
64,W032000734,2002-10-21,2009-04-01,2002-12-14,2008-12-12,S,organisation d'épreuves cyclistes,Mairie  ,3400,Yzeure,D,11,PACO,2002,136,24619,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
65,W033000694,1948-09-25,2021-08-07,1948-10-07,0001-01-01,S,Pratique des sports et en particulier du football.,  Salle des fetes,3120,Isserpent,A,11,ASSOCIATION SPORTIVE D'ISSERPENT,1948,67,21862,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
66,W033003375,2013-11-14,2013-11-14,2013-11-23,0001-01-01,S,gestion et fonctionnement du lotissement,CHEM1 des Brosses,3700,Bellerive-sur-Allier,A,23,ASSOCIATION DU CHEMIN DES BROSSES,2013,90,17831,23,"REPRÉSENTATION, PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES"
67,W031006478,2020-08-24,2020-08-24,2020-08-29,0001-01-01,S,l'accompagnement à la vie ludo-éducative et à la vie sociale en accompagnement individuel des personnes présentant un handicap,1 RUE des Prôts,3350,Le    Brethon,A,14,LA MUSE VAGABONDE,2020,100,12876,14,"AMICALES, GROUPEMENTS AFFINITAIRES, GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX)"
68,W031002813,2015-09-23,2022-07-14,2015-10-10,0001-01-01,S,initiation à l'aquarelle,Maison des Associations Molière 12 RUE des Grands Prés,3100,Montluçon,A,7,COULEUR INDIG'EAU,2015,163,13512,7,"CLUBS DE LOISIRS, RELATIONS"
69,W033000103,1906-04-24,2021-09-27,1906-04-27,0001-01-01,S,Assurer l'exercice du culte reforme et pourvoir en tout ou en partie aux frais et besoins du culte et des divers services et activites qui peuvent s'y rattacher lEgalement,10   RUE Max Durand Fardel,3200,Vichy,A,40,ÉGLISE PROTESTANTE UNIE,1906,162,10656,40,"ACTIVITÉS RELIGIEUSES, SPIRITUELLES OU PHILOSOPHIQUES"
70,W032001612,1989-03-14,2008-11-26,1989-04-12,0001-01-01,S,Pratique du tennis,,3400,Gennetines,A,11,TENNIS CLUB DE GENNETINES,1989,59,17197,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
71,W031002405,2012-07-09,2012-07-09,2012-07-21,0001-01-01,S,la promotion du mieux-être,17 RUE Porte Charrat,3450,Ébreuil,A,7,FEEL GOOD,2012,162,2543,7,"CLUBS DE LOISIRS, RELATIONS"
72,W033002231,1971-12-16,2005-01-14,1972-01-06,0001-01-01,S,Pratique de l'education physique et du tennis.,MAIRIE,3150,Varennes-sur-Allier,A,11,TENNIS CLUB VARENNOIS,1971,128,16351,11,"SPORTS, ACTIVITÉS DE PLEIN AIR"
73,W032000578,1982-04-23,2006-08-02,1982-05-04,2006-06-26,S,Mettre a la disposition du discrit de moulins des ouvrages contribuant a leur formation pedagogique et a leur culture,Inspection académique   chateau de bellevue,3400,Yzeure,D,6,BIBLIO PEDAGO CIRCULANTE.MOULINS.,1982,114,11211,6,"CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES"
74,W033002821,2009-05-13,2009-05-13,2009-06-13,0001-01-01,S,"organisation des fêtes, manifestations et activités de loisirs, sport et culture, périodiques ou non, en vue de l'animation de la commune",Mairie 2 rue du Fournil,3800,Charmes,A,9,CHARMES EN FETES,2009,162,13515,9,ACTION SOCIOCULTURELLE
