"id","id_ex","siret","rup_mi","gestion","date_creat","date_decla","date_publi","date_disso","groupement","objet","adrs_libvoie","adrs_codepostal","adrs_libcommune","siteweb","position","objet_cat","objet_list","nom","annee_creat","membres","benefices"
"W032000843","0032003140","","","032P","1988-02-26","2020-02-17","1988-03-23","0001-01-01","S","Organisation des festivites de la commune","Mairie le Bourg","03240","Saint-Sornin","","A","009","['009030', '000000']","COMITE DES FETES DE SAINT SORNIN","1988",74,29877
"W031000837","0031003958","","","031S","1995-05-19","2012-01-05","1995-06-21","0001-01-01","S","Ameliorer la vie des etudiants","I.U.T.","03100","Montluçon","","A","015","['015000', '015075']","BUREAU DES ETUDIANTS DU DEPARTEMENT...","1995",112,25344
"W032001243","0032004977","","","032P","2002-04-12","2009-08-25","2002-05-11","0001-01-01","S","S","","03140","Charroux","","A","006","['006020', '000000']","REGARDS BOURBONNAIS","2002",84,9159
"W032000734","0032005124","","","032P","2002-10-21","2009-04-01","2002-12-14","2008-12-12","S","organisation d'épreuves cyclistes","Mairie  ","03400","Yzeure","","D","011","['011180', '000000']","PACO","2002",136,24619
"W033000694","0033001367","","","033S","1948-09-25","2021-08-07","1948-10-07","0001-01-01","S","Pratique des sports et en particulier du football.","  Salle des fetes","03120","Isserpent","","A","011","['011075', '000000']","ASSOCIATION SPORTIVE D'ISSERPENT","1948",67,21862
"W033003375","","","","033S","2013-11-14","2013-11-14","2013-11-23","0001-01-01","S","gestion et fonctionnement du lotissement","CHEM1 des Brosses","03700","Bellerive-sur-Allier","","A","023","['023000', '000000']","ASSOCIATION DU CHEMIN DES BROSSES","2013",90,17831
"W031006478","","","","031S","2020-08-24","2020-08-24","2020-08-29","0001-01-01","S","l'accompagnement à la vie ludo-éducative et à la vie sociale en accompagnement individuel des personnes présentant un handicap","1 RUE des Prôts","03350","Le    Brethon","","A","014","['014070', '006000']","LA MUSE VAGABONDE","2020",100,12876
"W031002813","","","","031S","2015-09-23","2022-07-14","2015-10-10","0001-01-01","S","initiation à l'aquarelle","Maison des Associations Molière 12 RUE des Grands Prés","03100","Montluçon","","A","007","['007000', '000000']","COULEUR INDIG'EAU","2015",163,13512
"W033000103","0033000018","","","033S","1906-04-24","2021-09-27","1906-04-27","0001-01-01","S","Assurer l'exercice du culte reforme et pourvoir en tout ou en partie aux frais et besoins du culte et des divers services et activites qui peuvent s'y rattacher lEgalement","10   RUE Max Durand Fardel","03200","Vichy","","A","040","['040000', '040000']","ÉGLISE PROTESTANTE UNIE","1906",162,10656
"W032001612","0032003254","","","032P","1989-03-14","2008-11-26","1989-04-12","0001-01-01","S","Pratique du tennis","","03400","Gennetines","","A","011","['011165', '000000']","TENNIS CLUB DE GENNETINES","1989",59,17197
"W031002405","","","","031S","2012-07-09","2012-07-09","2012-07-21","0001-01-01","S","la promotion du mieux-être","17 RUE Porte Charrat","03450","Ébreuil","","A","007","['007085', '000000']","FEEL GOOD","2012",162,2543
"W033002231","0033002862","","","033S","1971-12-16","2005-01-14","1972-01-06","0001-01-01","S","Pratique de l'education physique et du tennis.","MAIRIE","03150","Varennes-sur-Allier","","A","011","['011165', '000000']","TENNIS CLUB VARENNOIS","1971",128,16351
"W032000578","0032002544","","","032P","1982-04-23","2006-08-02","1982-05-04","2006-06-26","S","Mettre a la disposition du discrit de moulins des ouvrages contribuant a leur formation pedagogique et a leur culture","Inspection académique   chateau de bellevue","03400","Yzeure","","D","006","['006005', '000000']","BIBLIO PEDAGO CIRCULANTE.MOULINS.","1982",114,11211
"W033002821","","","","033S","2009-05-13","2009-05-13","2009-06-13","0001-01-01","S","organisation des fêtes, manifestations et activités de loisirs, sport et culture, périodiques ou non, en vue de l'animation de la commune","Mairie 2 rue du Fournil","03800","Charmes","","A","009","['009030', '000000']","CHARMES EN FETES","2009",162,13515
"W032002122","","","","032P","2009-03-20","2017-01-20","2009-03-28","0001-01-01","S","organiser des repas dansants, soirée à thème","mairie 12 RUE de la mairie","03140","Étroussat","","A","006","['006040', '007060']","LES ANNEES FOLLES D'ETROUSSAT","2009",123,5811
